,Keywords,confidence,Date Start,Description of measure implemented,Implementing State/Province,Country,Source
730,international traveller screening - risk countries,,2020-03-18,"All international air passengers will continue to be checked with handheld temperature scanners prior to entering the country, and their travel history and health status will be screened by border agents.  ",,Fiji,"Dept Immigration (Government, http://www.immigration.gov.fj"
731,international travel ban - risk countries,,2020-03-18,Cruise ships are not permitted to berth anywhere in Fiji. ,,Fiji,"Dept Immigration (Government, http://www.immigration.gov.fj"
735,hospital specialisation - partial,,2020-03-22,"8 fever clinics now open. Eight fever clinics are now operating around the country as part of the COVID-19 response plan. Six clinics are now running in Nasinu, Labasa, Savusavu, and Nabouwalu. Two others have been running in Lautoka since last week. Fever clinics are an important part of our response to the virus, as they give Fijians the ability to seek treatment without going to a hospital. They also protect our hospitals from the spread of the virus.",,Fiji,"Fiji MoH (Government, http://www.health.gov.fj/media-release-eight-fever-clinics-now-open-2/"
744,state of emergency,,2020-03-16,Provisionally until April 13th,,Finland,"Government (Government, https://valtioneuvosto.fi/en/article/-/asset_publisher/10616/hallitus-totesi-suomen-olevan-poikkeusoloissa-koronavirustilanteen-vuoksi"
747,limited nonessential business closure,,2020-03-16,All public non-essential services are closed,,Finland,"Government (Government, https://valtioneuvosto.fi/en/article/-/asset_publisher/10616/hallitus-totesi-suomen-olevan-poikkeusoloissa-koronavirustilanteen-vuoksi"
749,risk communication,,2020-03-16,Employers are encouraged to advice their employees to work from home,,Finland,"Government (Government, https://valtioneuvosto.fi/en/article/-/asset_publisher/10616/hallitus-totesi-suomen-olevan-poikkeusoloissa-koronavirustilanteen-vuoksi"
750,risk communication,,2020-03-16,"As a general guideline, persons over 70 years of age must refrain from contact with other persons to the extent possible (quarantine-like conditions), with the exception of members of parliament, the state leadership and elected officials in local government.",,Finland,"Government (Government, https://valtioneuvosto.fi/en/article/-/asset_publisher/10616/hallitus-totesi-suomen-olevan-poikkeusoloissa-koronavirustilanteen-vuoksi"
751,hospital specialisation - partial,,2020-03-16,"The capacity of healthcare and social welfare services will be increased in the public and private sectors. At the same time, non-urgent activities will be reduced. The capacity of the private sector will be mobilised for public use as necessary. At the same time, statutory deadlines and obligations will be eased. The capacity for coronavirus testing will be increased. The National Institute for Health and Welfare will provide support in this respect.",,Finland,"Government (Government, https://valtioneuvosto.fi/en/article/-/asset_publisher/10616/hallitus-totesi-suomen-olevan-poikkeusoloissa-koronavirustilanteen-vuoksi"
753,international travel ban - risk countries,,2020-03-19,"Entry limited to Finish nationals or people residing in Finnland, for essential work, transit traffic; Finnish nationals are not allowed to leave the country, third country nationals are",,Finland,"Border Guard (Government, https://www.raja.fi/facts/news_from_the_border_guard/1/0/finnish_border_traffic_to_be_restricted_as_of_19_march_2020_79144"
755,hospital specialisation - partial,,2020-03-17,The more critical measure will limit the sale of medical supplies and pharmaceuticals used in the public healthcare system.,,Finland,"YLE state media (Media, https://yle.fi/uutiset/osasto/news/govt_rolls_out_order_to_limit_sales_of_pharmaceuticals_and_medical_supplies/11262584"
758,blanket curfew - no symptoms,,2020-03-16,Closure of all non-essential establishments ,,France,"U.K. Government Travel Advice (Government, https://www.gov.uk/foreign-travel-advice/france/health"
759,international traveller screening - risk countries,,2020-03-16,,,France,"U.S. Embassy in France (Government, https://fr.usembassy.gov/covid-19-information/"
764,blanket curfew - no symptoms,,2020-03-17,"further restrictions of movement, all people requested to remain at home unless for essential purposes starting 17 March to last for 2 weeks",,France,"Ministry of Interior (Government, https://www.interieur.gouv.fr/Actualites/L-actu-du-Ministere/Attestation-de-deplacement-derogatoire-et-justificatif-de-deplacement-professionnel"
770,economic stimulus,,2020-12-03,Financial support for unemployed persons forced to stay at home due to the situation; postponing of tax payment enabled; delay of payment for recurring costs for SMEs; strengthening of credit opportunities for companies; ,,France,"Government (Government, https://www.gouvernement.fr/info-coronavirus"
771,risk communication,,2020-03-18,In connection with the closure of Schengen borders are all French citizens adviced to not travel abroad and if abroad come home urgently,,France,"Government (Government, https://www.gouvernement.fr/info-coronavirus"
772,international travel ban - risk countries,,2020-03-18,Foreign citizens that are not permanents residents in France are banned from entering the country for 30 days,,France,"Ministry for Europe and Foreign Affairs (Government, https://www.diplomatie.gouv.fr/en/coming-to-france/coronavirus-advice-for-visitors-to-france/coronavirus-statements/article/statement-by-jean-yves-le-drian-minister-for-europe-and-foreign-affairs"
774,blanket curfew - no symptoms,,2020-03-22,Country-wide curfew between the hours of 7:30 p.m. and 6:00 a.m.,,Gabon,"US Embassy (Government, https://ga.usembassy.gov/health-alert-u-s-embassy-libreville-gabon-march-21-2020/"
775,economic stimulus,,2020-07-03,Covid-19 related health expenses are reinbursed by the government. ,,Gabon,"Government — Gabon (Government, https://www.facebook.com/Covid19GOUVGA/videos/516410685956232/"
776,international traveller screening - risk countries,,2020-07-03,"Additional health checks at all land, air and sea borders.",,Gabon,"Government — Gabon (Government, https://www.facebook.com/Covid19GOUVGA/videos/516410685956232/"
777,limited nonessential business closure,,2020-07-03,Restriction for international missions. ,,Gabon,"Government — Gabon (Government, https://www.facebook.com/Covid19GOUVGA/videos/516410685956232/"
779,coronavirus education activities,,2020-07-03,,,Gabon,"Government — Gabon (Government, https://www.facebook.com/Covid19GOUVGA/videos/516410685956232/"
780,international travel ban - risk countries,,2020-03-13,"Suspension of tourist visas from EU, China, South Corea and US. ",,Gabon,"Government — Gabon (Government, https://www.facebook.com/Covid19GOUVGA/videos/vb.107766050833852/532053067452245/?type=2&theater"
785,risk communication,,2020-03-13,To use public transport only for indispensable travels.,,Gabon,"Government — Gabon (Government, https://www.facebook.com/Covid19GOUVGA/videos/vb.107766050833852/532053067452245/?type=2&theater"
787,international traveller screening - risk countries,,2020-07-02,"Arriving passengers at Banjul Yundum International Airport are provided with an additional health screening form to fill out prior to disembarking. Upon arrival, all passengers are subject to enhanced health screening measures by health officials, which include thermal screening, review of recent travel, and application of hand sanitizer.",,Gambia,"US Embassy (Government, https://gm.usembassy.gov/u-s-citizen-services/covid-19-information/"
788,international travel ban - risk countries,,2020-03-24,The border between Republic of The Gambia and the Republic of Senegal is closed for 21 days. The public are told this will not effect movement of essential goods across the border.,,Gambia,"Government (Social media, https://twitter.com/Presidency_GMB/status/1241488320766644224/photo/1"
794,international travel ban - risk countries,,2020-03-18,No entry except citizens and those with family in Georgia (until at least 1. April),,Georgia,"Ministry of Foreign Affairs - France (Government, https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/georgie/"
795,international traveller screening - risk countries,,2020-03-16,"People having travelled in France, Germany, Austria, Spain, China, Iran, South Korea and Italy",,Georgia,"Ministry of Foreign Affairs - France (Government, https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/georgie/"
799,international travel ban - risk countries,,2020-03-21,All land borders *Except the Vale and Kartsakhi crossings with Turkey for Georgian citizens or of neighboring countries returning to their home countries.  ,,Georgia,"US Embassy of Georgia (Government, https://ge.usembassy.gov/covid-19-information-on-georgia/"
800,state of emergency,,2020-03-23,Until 21. April 2020,,Georgia,"US Embassy Georgia (Government, https://ge.usembassy.gov/covid-19-information-on-georgia/"
801,limited nonessential business closure,,2020-03-23,"No -essentials including all commercial businesses *except for groceries, pharmacies, gas stations, banks and posts offices ",,Georgia,"US Embassy Georgia (Government, https://ge.usembassy.gov/covid-19-information-on-georgia/"
804,"domestic travel limitation, domestic traveller quarantine, domestic travel ban",,2020-03-24,intercity public transport is suspended.  This ban applies to buses and passenger trains but not to personal vehicles or cargo trains.,,Georgia,"US Embassy Georgia (Government, https://ge.usembassy.gov/covid-19-information-on-georgia/"
805,international travel ban - risk countries,,2020-03-16," land movement of citizens between Georgia and Russia is temporarily suspended, with the exception for Georgian and Russian citizens who wish to return home as well as freight traffic.",,Georgia,"International SOS (Other organisations, https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS"
